slope,aspect,elevation,uso_solo,lito,twi,curv,class
8.900415,200.5309,40.5449,1210,1507,9.546416283,-0.02550423,0
23.41867,338.2579,81.8828,1220,2741,6.735372543,0.01794915,1
31.69032,36.39257,210.798,1310,2741,5.904617786,0.01410478,1
5.813162,343.5854,9.52768,1420,2790,6.59046793,0.00810807,0
28.89417,61.79618,62.9674,1220,2773,6.200160027,0.009095008,1
37.89099,336.345,177.722,2230,2773,6.217178345,-0.0212111,1
7.04513,99.54131,37.7653,1420,2742,9.468262672,-0.01869154,1
16.2957,216.5744,106.033,2230,2773,9.18202877,-0.0158732,1
3.906067,50.09582,19.377,2210,1507,7.014248848,-9.23E-05,0
14.11438,142.3276,126.064,2110,2773,9.590363503,-0.009964049,0
