,FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
165,166,377383.0,7354379.0,4.58052015305,-0.0113862175494,27.1341590881,13.5044689178,279.299072266,2,90,1
154,155,377535.0,7352870.0,4.240584850309999,-0.0456272996962,23.363149642899998,16.5299186707,16.7298431396,65,90,1
135,136,373158.0,7348156.0,4.6171913147,-0.00852716248482,21.5649433136,30.230199813800002,322.19967651400003,65,30,1
120,121,371658.0,7347211.0,7.58067131042,-0.0109247881919,11.7954435349,2.48297977448,271.439971924,2,30,1
57,58,368903.484557,7343164.62082,7.65673208237,0.000420989788836,0.541830360889,1.99499058723,119.342048645,2,30,0
147,148,375221.0,7348759.0,5.16818189621,-0.01190087758,21.7343921661,36.0877456665,117.84526062,2,90,1
90,91,367040.814165,7343687.17395,7.035027503969999,-0.0170642714947,26.6512508392,51.524883270299995,114.294845581,65,90,0
138,139,373334.0,7348443.0,3.4194269180299997,-0.0114033306018,18.1238880157,19.7640419006,305.978271484,65,30,1
113,114,371838.0,7346314.0,4.372004985809999,-0.0149740809575,14.171951293900001,7.846756935119999,233.36740112299998,2,90,1
112,113,372173.0,7346306.0,6.53852462769,-0.0133305033669,20.6413574219,8.20511341095,124.885101318,2,90,1
181,182,380097.0,7355650.0,5.31922245026,-0.000952504924498,23.7826366425,210.029968262,353.915679932,65,90,1
123,124,373124.0,7347347.0,3.63876581192,0.0056083695963,27.730707168600002,42.2851867676,148.549316406,2,90,1
167,168,377410.0,7354452.0,4.03187084198,-0.0197643209249,35.36120224,14.5230922699,284.917419434,2,90,1
108,109,370846.0,7345612.0,6.10249519348,-0.0147952670231,15.0280199051,8.312385559079999,244.14556884799998,2,20,1
169,170,377535.09372600005,7354527.19355,4.304924,4.304924,28.372442,68.982224,17.409184,2,90,1
41,42,376627.569449,7348936.07681,9.37376213074,-3.89673223253e-05,0.34059867262800003,4.83631372452,127.225547791,2,30,0
72,73,372316.616383,7349302.96643,11.6927671432,-5.2762461564e-06,0.019426012412,5.013827323909999,4.607134819,2,30,0
75,76,366733.896884,7344170.0395,4.42630434036,-0.00400808313861,25.5638618469,130.62008667,319.22222900400004,65,90,0
55,56,369591.40259899996,7343111.70405,7.593248367310001,-0.0140504660085,4.608952045440001,136.044052124,79.9964981079,2,90,0
185,186,381307.0,7355824.0,6.14829349518,-0.00740838376805,9.702053070069999,35.0912132263,250.965301514,2,90,1
84,85,369051.65151999996,7344672.74884,8.68926429749,0.00019652271294,0.48237317800499996,2.65349531174,167.820266724,65,20,0
129,130,373697.0,7347730.0,4.432211399080001,-0.00813063886017,30.727619171100002,151.231445313,157.170791626,65,90,1
171,172,377715.462535,7354614.5499100005,3.36652040482,0.00256557809189,34.613059997600004,55.5019073486,324.763671875,65,90,1
15,16,381136.078466,7357529.76066,5.566738128659999,-0.000227837983402,26.4265155792,85.1212387085,270.492034912,2,90,0
127,128,371923.90627399995,7347689.031239999,3.27649760246,0.00555258523673,37.0603141785,24.201721191399997,298.226074219,2,30,1
19,20,375992.568179,7354545.254689999,9.49098014832,-2.07889515877e-05,0.21637654304499998,1.8329565525099998,45.7215270996,2,70,0
134,135,373085.0,7348103.0,3.785868,3.785868,24.407747,29.56753,327.68576,65,30,1
145,146,374437.0,7348062.0,4.70387268066,-0.0212360080332,19.920753479000002,55.1141815186,100.89860534700001,2,90,1
24,25,375188.233237,7352259.25012,11.569960594200001,-0.000180426519364,0.722788512707,0.696737170219,267.509185791,65,60,0
96,97,379873.131496,7354105.1635300005,5.18769979477,-3.71339847334e-05,12.592734336900001,129.981140137,134.438705444,2,90,0
87,88,376268.17637,7349276.50804,6.41526794434,-0.000698633899447,1.9885892868000001,5.378813743589999,215.96627807599998,2,30,0
158,159,376797.0,7353183.0,5.2549996376,-0.00175732932985,27.5706272125,44.779033660900005,100.099601746,2,90,1
44,45,375209.399946,7348089.40845,12.9563131332,8.68470815476e-05,0.183616220951,4.58308744431,337.367706299,2,30,0
190,191,381050.0,7356277.0,5.04770040512,0.00697555067018,32.7170562744,91.51044464110001,107.84714508100001,65,90,1
174,175,380188.0,7355077.0,4.31979846954,-0.0153716504574,33.860042572,25.912239074699997,277.485137939,65,90,1
16,17,381347.745556,7358185.92864,5.26139354706,-0.00160699477419,17.2905483246,36.9668807983,287.974945068,2,90,0
32,33,373431.39639,7349295.91086,6.46970272064,0.000446951336926,0.887833595276,4.86832332611,189.995391846,2,90,0
5,6,378722.523306,7354142.30405,4.0597658157300005,0.0137324761599,19.0375919342,302.394348145,150.37269592299998,65,90,0
80,81,373999.369749,7350520.0522,10.876789093,-0.00198247190565,0.7723233103749999,0.021952265874,350.11315918,65,40,0
48,49,374637.89880300005,7347475.57389,8.45071029663,-0.00100675993599,0.857219457626,5.00001478195,259.065460205,2,20,0
139,140,373418.0,7348474.0,3.6871738433800005,0.000300057494314,26.6041717529,35.6296691895,307.39968872099996,65,20,1
119,120,371946.0,7347138.0,5.29791593552,0.001492767944,35.0028305054,123.956542969,280.43347168,2,90,1
180,181,380427.0,7355556.0,5.45882606506,-0.00448846304789,27.068239211999998,169.917602539,172.772201538,65,90,1
83,84,369898.31988,7345519.4172,10.8768129349,-7.47668018448e-05,0.062735676765,0.433058798313,107.20249176,2,30,0
56,57,369009.318102,7342741.28664,4.61003875732,-0.00826764758676,30.840829849200002,79.88329315189999,307.93820190400004,2,90,0
70,71,371417.031251,7348615.048389999,11.160995483399999,1.70968160091e-05,0.138487756252,3.32319116592,194.03312683099998,2,90,0
97,98,375540.570748,7353741.360719999,9.21121120453,-3.38200807164e-05,0.22898218035700002,2.4543466568,28.38422966,2,60,0
114,115,372083.0,7346335.0,3.34684872627,0.00241040391847,35.141792297399995,59.7744979858,130.44061279299999,2,90,1
191,192,381007.0,7356383.0,6.07281589508,-0.00274801091291,7.87295675278,115.012542725,89.96906280520001,65,90,1
47,48,374426.231713,7346671.23894,11.3422574997,1.10965711428e-05,0.468902528286,3.28801417351,80.6804733276,2,30,0
98,99,378384.84726999997,7354435.893360001,5.09214353561,-0.00656047696248,20.238445282,150.511154175,311.252929688,65,90,0
45,46,375103.566401,7347475.57389,16.0408630371,-4.58679714939e-05,0.028814474120999998,4.99387454987,53.053096771199996,2,30,0
117,118,372397.0,7346481.0,4.30026817322,-0.00106929789763,7.72497844696,9.94750785828,236.279296875,2,90,1
