FID,X,Y,Declividade,Aspecto,Curvatura,Elevacao,TWI,Geologia,Uso,class
46,375541.5598,7349297.285,23.30048561,227.0607147,3.777938843,148.7904053,4.531273842,65,90,0
37,378013.7812,7348411.496,0.41564342,49.08296204,-0.012917995,1.519028425,11.97542477,2,90,0
174,377698,7354659,65.80791473,335.5787048,16.05545044,183.3863068,3.111852407,65,90,1
39,374145.88,7348609.367,17.54268265,344.5397644,0.49230957,158.1348572,7.215426922,65,90,0
146,374231,7347807,26.80047989,180.6449738,0.022434235,49.94193268,6.540839672,65,90,1
138,373158,7348156,15.79193497,316.737854,-1.117855072,34.9756813,5.868116856,65,20,1
139,373302,7348245,43.68532944,309.282959,0.824180603,95.91963959,4.140251637,65,90,1
16,369383.3704,7343926.232,39.9728241,163.3899231,0.403778076,62.14968491,4.676198959,2,90,0
102,369756,7344020,32.40345001,3.838684797,0.740674973,31.98293114,3.450329542,2,20,1
155,379634,7352698,26.98565483,359.5057983,0.02279377,20.04534149,4.3637743,2,30,1
152,375711,7348857,31.82554626,160.8343506,0.081634521,129.6764374,4.725493431,65,90,1
43,374357.547,7348860.721,19.24392891,318.8601074,0.565330505,94.65699005,4.453604698,65,90,0
14,368205.9722,7343899.774,42.78239822,336.1923523,-0.068511963,105.2030411,2.380071878,2,90,0
128,373367,7347570,27.52337074,148.6078949,0.115673065,53.852108,2.954426289,2,90,1
26,371579.4165,7346122.278,30.90844345,0.040239651,1.923149109,124.8374786,4.607359886,2,90,0
66,380220.4106,7350903.876,1.31723094,76.09764099,-0.034150064,0.841397822,14.04914093,2,90,0
77,378953.0539,7352290.039,32.47265625,160.2980499,-0.075836182,50.87981415,5.239420891,2,90,0
24,372783.2731,7346069.361,22.99676132,120.5157776,0.415344238,85.20214844,4.258256435,2,90,0
120,372397,7346481,7.72497845,236.2792969,0.387662888,9.947507858,4.300268173,2,90,1
29,372181.3448,7346863.113,31.05733871,151.1532898,0.093322754,170.5077362,3.908324718,65,90,0
89,379615.2242,7356541.194,11.9693327,317.8323669,1.394165039,162.2315826,5.463205814,65,90,0
25,371328.0618,7346102.434,34.88432693,335.7427979,-0.921340942,76.21453857,4.965848923,2,90,0
10,366935.9697,7343608.732,39.03185654,121.2084503,-0.076217651,84.75715637,4.121873856,65,90,0
123,371658,7347211,11.79544353,271.4399719,-0.942344546,2.482979775,7.58067131,2,30,1
56,380268.0357,7350189.499,30.40385818,299.4776917,2.263198853,84.17709351,2.835678816,65,90,0
20,366294.3538,7344567.848,17.94860077,102.3792191,1.495788574,77.46672058,5.732404232,65,90,0
191,379146,7356090,32.71705627,107.8471451,0.195960999,91.51044464,5.047700405,65,90,1
158,376851,7353049,21.75156975,96.37905884,-3.139564514,40.25185776,5.418625355,2,90,1
61,371116.9111,7350528.124,0.27550191,87.70524597,-0.003820181,3.488621473,10.41255379,2,90,0
42,374797.8576,7348802.756,29.66096115,140.506546,0.467010498,112.1478958,4.251897812,2,90,0
114,371944,7346264,24.89753914,200.9335632,-0.647397995,17.95346451,3.070170879,2,90,1
3,369151.8595,7342755.449,58.99652863,101.1867218,5.070739746,90.68728638,3.585089922,2,90,0
32,372803.1168,7347154.155,18.795681,123.5560684,-0.974502563,59.90613937,3.380384922,65,90,0
38,374516.2974,7348424.158,19.66345787,107.3322983,2.66796875,74.40021515,3.331674576,65,90,0
22,371242.0721,7345745.246,34.47071838,158.7884216,0.569923401,113.8955994,2.678693533,2,90,0
130,371912,7347693,37.06031418,298.2260742,2.059751511,24.20172119,3.276497602,2,30,1
90,380002.575,7356693.594,5.31411982,350.1022339,-0.148971558,179.3913116,5.776175022,65,90,0
50,375270.3614,7349786.765,24.20107841,295.0381775,0.661598206,89.59112549,3.102337122,65,90,0
2,369509.0478,7341935.239,31.98021317,270.0769653,-1.467575073,70.47544098,5.338516235,2,90,0
40,373877.1058,7348747.193,27.02153969,316.3155518,0.207473755,76.94659424,5.614988804,65,90,0
64,374490.5825,7350746.184,33.28449249,332.9313965,0.100475311,40.55746841,3.416580677,65,90,0
106,371074,7345111,29.80139923,71.88104248,-3.333919525,15.33096313,6.68855381,2,20,1
17,368721.9108,7344012.222,32.01418686,347.9550476,-2.157585144,30.65994644,5.767979622,2,20,0
76,380944.8385,7351827.722,29.55153465,292.5923767,1.513305664,144.002655,2.870049,65,90,0
170,377410,7354452,30.94521713,17.4091835,2.563350677,68.98222351,2.814144611,2,90,1
105,370587,7344750,27.54376793,251.3460693,-1.67356205,13.00906944,3.646704912,2,20,1
45,374721.3499,7349198.066,39.49264908,293.1698608,1.681228638,96.52440643,2.496023417,65,90,0
30,372617.9081,7346922.644,27.9501667,172.7012329,-0.348770142,75.45962524,4.034955025,65,90,0
53,376474.2179,7350018.276,10.26144981,70.91436005,-1.997890472,43.12150574,10.46211624,65,90,0
85,378873.6787,7353917.229,27.75436401,118.1129913,1.828231812,183.756897,4.043229103,65,90,0
175,377719,7354677,33.86004257,277.4851379,-0.16053009,25.91223907,4.31979847,65,90,1
196,379310,7356913,11.33861351,0.30454123,-0.868555784,5.026316166,6.682012081,65,90,1
9,367862.0132,7343509.513,50.06183243,166.252121,0.221725464,89.80670166,4.833017349,2,90,0
95,383008.5927,7357558.608,24.75707436,121.7684326,0.386260986,207.4283447,4.462897778,65,90,0
122,371946,7347138,35.00283051,280.4334717,1.006004334,123.956543,5.297915936,2,90,1
143,373481,7348487,34.0210762,91.68804932,-1.520792007,35.62447357,4.305000782,2,20,1
125,372051,7347313,31.85390091,323.2820435,0.180740356,155.1803741,3.471626997,65,20,1
87,379277.9602,7354447.102,30.43406296,155.3156128,-1.149475098,226.0552368,4.780379295,65,90,0
121,372439,7346564,20.69125748,266.3990784,0.095556259,19.49218369,6.534352303,2,90,1
140,373481,7348487,18.12388802,305.9782715,-1.165893555,19.7640419,3.419426918,65,30,1
88,378944.5845,7354970.978,20.86941719,333.4488831,1.146713257,174.429718,3.266879082,65,90,0
173,377584,7354659,16.72619629,334.005188,-2.35022068,6.98177433,4.891144753,2,90,1
185,379676,7355706,18.2745018,296.5407104,-2.237278938,7.478470325,5.607791901,65,90,1
116,371838,7346314,14.17195129,233.3674011,-1.494552612,7.846756935,4.372004986,2,90,1
151,375682,7348815,24.77268982,113.4725494,0.84474659,17.39791679,5.155329227,2,20,1
182,380230,7355402,23.78263664,353.9156799,-0.681442261,210.0299683,5.31922245,65,90,1
147,374080,7347856,19.92075348,100.8986053,-3.489730835,55.11418152,4.703872681,2,90,1
62,376796.6954,7350636.389,28.588871,330.7431946,1.017475128,39.07719421,6.08767128,2,90,0
49,376322.0822,7349733.848,26.36648941,113.5745697,2.990829468,174.1931152,3.00442028,2,90,0
181,381065,7355286,27.06823921,172.7722015,-1.590179443,169.9176025,5.458826065,65,90,1
144,373978,7347581,35.06731796,59.18134689,-2.009166718,34.82037735,3.755076647,65,20,1
60,375447.3177,7350464.41,38.20828629,288.455658,-2.013015747,121.4074554,5.026819706,65,90,0
82,375019.523,7353140.89,0.2218452,185.5503845,0.001272678,2.162373066,11.56996059,2,70,0
117,372083,7346335,35.1417923,130.4406128,1.790161133,59.77449799,3.346848726,2,90,1
163,376611,7353297,14.09963989,231.5319824,-0.491856575,7.578491211,5.475946426,2,90,1
109,366716,7345368,30.68343925,163.2244263,-1.028343678,9.783023834,4.903971195,65,90,1
18,365857.7905,7344025.451,22.24646378,306.1735229,-0.497612,95.22972107,5.681437016,65,90,0
104,366952,7344709,12.92823887,80.87528229,-1.906939626,1.446991682,9.032745361,65,90,1
115,372173,7346306,20.64135742,124.8851013,-1.988205433,8.205113411,6.538524628,2,90,1
183,380427,7355556,25.6173439,245.0981598,-0.277908325,190.3757629,5.676669598,65,90,1
108,371091,7345232,23.33914185,89.30664825,0.275222778,14.64774036,6.278617859,2,90,1
21,377538.5886,7345465.09,28.63459015,143.6396332,0.432518005,57.55844116,5.472669125,2,90,0
197,380392,7357192,22.72119141,78.49642944,2.240745544,85.26066589,3.866227627,65,90,1
27,372928.7942,7346234.726,41.75728607,45.96166229,3.283744812,65.43889618,4.025458336,2,90,0
136,373085,7348103,23.18883133,328.9649658,-0.418863297,29.56752968,3.150353909,65,30,1
79,370949.3921,7352704.553,0.09434937,339.5461426,-5.15E-05,3.31297183,12.29508114,2,90,0
58,374014.3315,7350365.183,28.96403694,338.2943115,-1.142814636,50.56031036,5.938621521,65,20,0
91,382024.3407,7356860.107,10.51165295,22.48119164,-1.2137146,105.1273117,6.384915352,65,90,0
33,378649.8408,7347317.177,33.42211151,343.6488953,-1.291496277,81.22881317,6.273550987,65,20,0
97,383484.8436,7358225.36,14.46354485,121.6967773,1.564987183,91.93870544,3.657617569,65,90,0
124,373638,7347284,21.7802124,232.719696,0.632126808,14.48589325,3.219949245,2,90,1
129,371925,7347633,33.16337967,295.7649231,0.087051392,47.53638458,6.283392906,2,30,1
111,370846,7345612,15.02801991,244.1455688,-1.993917942,8.312385559,6.102495193,2,20,1
35,373234.167,7347858.191,37.94186401,168.2090607,5.164894104,74.68817139,4.949387074,65,90,0
157,377535,7352870,26.42233276,88.6470108,-2.829090118,8.162531853,4.611409187,2,30,1
142,373418,7348474,15.43968296,347.2944641,-1.276493073,34.91998672,7.144595146,65,90,1
110,370469,7345465,15.58041096,344.0715332,-2.235265732,7.683497429,4.96600914,2,30,1
8,369601.6521,7343244.929,69.73188782,240.0690765,1.085044861,43.72257996,3.099230766,2,90,0
54,378553.5323,7350110.124,0.49231267,148.6662292,0.014230251,4.355593681,7.752574921,2,30,0
154,379591,7352652,16.03279495,115.2185287,-3.152822495,5.506398201,7.075948238,2,30,1
19,369132.0158,7344170.972,29.16691971,339.5791016,1.674430847,69.07888031,2.885760307,65,90,0
63,380506.1612,7350649.875,33.2342453,352.6929321,1.851737976,73.98717499,4.804787636,65,90,0
166,377247,7353988,19.26595688,266.3388977,-1.96463728,5.33796978,4.452368736,2,90,1
127,373849,7347447,28.57059479,139.2436371,-1.381271362,52.26003647,4.856287003,2,20,1
52,374542.7557,7349985.203,31.26760101,154.2257538,-0.945251465,100.8616409,5.509474754,2,90,0
141,373334,7348443,26.60417175,307.3996887,-0.830453873,35.62966919,3.687173843,65,20,1
103,367437,7344309,23.18181992,45.19527435,-2.705189705,5.089533329,6.841595173,65,90,1
