FID,X,Y,TWI,Curvatura,Declividade,Elevacao,Aspecto,Geologia,Uso,class
1,369756,7344120,11.57001876830,0.42098602653,0.37857863307,0.23471812904,176.2218780520,2,90,0
2,367437,7344409,12.26316547390,-0.08802208304,0.24829612672,0.00000000000,241.9070434570,65,90,0
3,366952,7344809,3.83829975128,-3.14790272713,24.37390327450,5.94519662857,122.9197616580,65,90,0
4,370587,7344850,6.10892772675,-3.62625503540,20.70151329040,10.98633384700,297.0433349610,2,20,0
5,371074,7345211,6.67017221451,-1.29312705994,25.72981834410,18.98835754390,85.2759246826,2,90,0
6,366577,7345330,4.26924037933,0.96737289429,29.23558044430,24.77475929260,96.3670654297,65,20,0
7,371091,7345332,4.60668802261,1.91287994385,30.92540359500,54.68148803710,168.0195617680,2,90,0
8,366716,7345468,3.94447255135,2.32307052612,21.16783142090,54.73332595830,37.3791007996,65,20,0
9,370469,7345565,11.04141235350,0.02529764175,2.21156358719,3.39496612549,331.1905517580,2,30,0
10,370846,7345712,4.43481826782,1.57150745392,19.58132362370,14.41970062260,283.4488525390,2,20,0
11,370946,7346122,6.53613376617,-1.00186920166,11.47576618190,8.59494018555,333.4953002930,2,30,0
12,372569,7346350,14.78872966770,-0.24469096959,0.78111737967,0.01398984529,175.2257537840,2,90,0
13,371944,7346364,4.14126873016,3.59860992432,25.50487518310,83.87016296390,217.4280242920,2,90,0
14,372173,7346406,4.77073049545,1.11054992676,26.95111465450,57.88139343260,142.1931304930,2,90,0
15,371838,7346414,3.52341127396,1.19314956665,41.50751495360,37.81250000000,278.7569274900,2,90,0
16,372083,7346435,5.00260591507,0.69234466553,15.04635047910,93.16794586180,107.2057571410,2,90,0
17,371802,7346496,6.69870328903,-1.47663974762,9.10291099548,14.98931503300,260.0614624020,2,90,0
18,371843,7346580,4.71128511429,-0.77740859985,28.35099220280,44.69239807130,180.1521911620,2,90,0
19,372397,7346581,5.83419752121,-0.46105957031,11.57434654240,16.95782089230,173.9791870120,2,90,0
20,372439,7346664,3.86655998230,-1.67170333862,39.93641281130,53.13741302490,251.3440093990,2,90,0
21,371946,7347238,3.66102838516,0.19503784180,27.20864295960,124.72920990000,225.2492065430,2,20,0
22,371658,7347311,10.96740722660,-0.21718955040,6.02401638031,2.12974667549,273.2409973140,2,30,0
23,373638,7347384,7.37061834335,-3.46326065063,18.12476921080,50.51766586300,167.1896972660,2,30,0
24,372051,7347413,3.99643731117,-1.61521911621,20.18445587160,125.04637146000,336.2678833010,65,20,0
25,373124,7347447,3.00533509254,0.96532440186,26.34561729430,74.24943542480,150.2228851320,2,90,0
26,373849,7347547,3.39795565605,2.65817260742,18.49073982240,89.52285766600,113.3250045780,65,20,0
27,373367,7347670,4.23562526703,-0.07308197021,23.46676254270,105.04212188700,143.8878784180,65,90,0
28,371933,7347735,4.48917436600,-0.05495929718,33.97189712520,11.06669616700,319.3804626460,2,30,0
29,371924,7347789,11.56996059420,-0.03221440315,0.17523276806,0.01213747449,143.7120819090,2,30,0
30,372536,7347828,10.89692783360,-1.46520900726,2.41779446602,1.56487345695,89.3410491943,65,30,0
31,373697,7347830,3.85680198669,-1.05825805664,32.37729644780,155.54563903800,311.5570983890,65,90,0
32,372376,7347932,3.80626630783,2.21865940094,12.53361988070,10.00507164000,351.1933593750,65,30,0
33,372941,7348098,12.05458641050,-0.21673125029,1.14015424252,0.34930133820,254.4873352050,65,30,0
34,373058,7348181,6.71101236343,-0.54718065262,2.78794550896,5.32599639893,241.7336425780,65,30,0
35,373085,7348203,8.15818595886,-1.40222597122,9.43080043793,8.12025165558,278.5400390630,65,30,0
36,373085,7348203,8.73166400000,-1.40222600000,6.08021400000,8.12025200000,284.8403320000,65,30,0
37,373158,7348256,5.72040843964,0.40474510193,3.75136685371,24.66214752200,225.9427948000,65,30,0
38,373302,7348345,5.19506120682,-0.23493576050,9.44279098511,33.20248413090,281.3686218260,65,30,0
39,373513,7348481,3.61416482925,0.07199096680,28.31527519230,51.78888320920,325.4533386230,65,90,0
40,373334,7348543,7.29879903793,-0.36327266693,2.71061825752,5.93519401550,330.7345275880,65,30,0
41,373418,7348574,5.21362781525,-0.62182092667,9.27213191986,7.12652015686,347.0980834960,65,20,0
42,373481,7348587,7.52069807053,-0.64241647720,11.33467483520,6.81595897675,335.2581176760,65,20,0
43,373978,7347681,3.71033048630,-0.53088378906,13.74978351590,29.89986419680,126.4044799800,65,20,0
44,373971,7347724,7.74070072174,-2.59776687622,20.93659019470,40.45363235470,157.4781036380,65,20,0
45,374231,7347907,6.30074405670,-1.07454681396,30.42063522340,50.37332153320,112.4840927120,65,90,0
46,374080,7347956,3.86708569527,-0.52305603027,32.11146163940,105.52146911600,174.6086120610,65,90,0
47,374437,7348162,4.47028684616,0.23953247070,24.59646987920,86.42871093750,102.7648696900,2,90,0
48,375215,7348849,4.81445503235,-2.05701828003,22.07660293580,45.11217498780,94.2471542358,2,90,0
49,375221,7348859,6.00675392151,-3.39901351929,20.26969528200,45.48988342290,104.4701232910,2,90,0
50,375682,7348915,4.42832946777,-2.75185203552,19.69901084900,22.13887214660,54.3394470215,2,90,0
51,375711,7348957,6.36325073242,-0.35084724426,5.90483856201,17.23209571840,103.7535171510,2,90,0
52,375217,7349188,6.76829719543,-0.59248352051,17.84348297120,180.03793335000,134.1088256840,65,90,0
53,379591,7352752,6.58667993546,-2.86073112488,28.26504516600,30.68426132200,115.7024459840,2,20,0
54,379634,7352798,3.12739610672,-0.18988800049,23.66870117190,24.58749389650,115.7107391360,2,30,0
