,Unnamed: 0,declined,valueClient,extraCost,valueResources,net,processDuration,daysOnContact,daysOnInterview,daysOnSendCV,daysOnReturn,daysOnCSchedule,daysOnCRealized,cluster
75,75,0,16800.0,0.0,5000.0,680.0,27,0,1,0,0,2,5,0
76,76,0,15960.0,0.0,9240.0,3783.36,17,1,0,0,6,2,0,0
77,77,0,13440.0,0.0,8019.0,872.4672,48,1,0,0,2,5,6,1
78,78,0,16800.0,0.0,6754.5,2226.15,16,0,0,0,1,1,7,0
79,79,0,12264.0,0.0,8551.2,1456.224,33,0,1,0,7,3,3,1
80,80,0,16800.0,0.0,5700.0,775.2,33,1,0,0,1,5,13,1
81,81,0,13440.0,0.0,8904.0,2063.04,5,0,0,0,0,0,0,0
82,82,0,13805.0,0.0,11000.0,-7435.12,18,0,0,0,0,0,0,0
83,83,1,13742.4,0.0,8904.0,2309.7984,28,0,1,0,1,1,12,1
84,84,0,8736.0,0.0,10416.0,-3287.4240000000004,28,0,3,11,2,1,1,1
85,85,0,16800.0,0.0,6998.88,951.84768,99,0,0,2,75,8,2,1
86,86,0,10080.0,0.0,7000.56,8152.3575,14,0,0,0,1,1,0,0
87,87,0,12516.0,0.0,10080.0,133.056,6,0,0,0,0,0,0,0
88,88,0,12936.0,0.0,8064.0,2491.776,15,1,0,0,1,5,3,0
89,89,0,18000.0,0.0,7500.0,1938.0,0,0,0,0,0,0,0,0
90,90,0,16800.0,0.0,10500.0,3208.8,0,0,0,0,0,0,0,0
91,91,0,31458.0,0.0,0.0,25669.728,0,0,0,0,0,0,0,0
92,92,0,10080.0,0.0,3360.0,4865.28,41,0,0,0,0,0,0,0
93,93,1,12768.0,0.0,8904.0,1514.688,35,0,3,0,27,0,0,1
94,94,0,16800.0,0.0,6300.0,856.8,15,0,1,0,0,4,1,0
95,95,0,12600.0,0.0,8568.0,1713.6,28,0,0,0,7,0,1,0
96,96,0,13440.0,0.0,8400.0,2567.04,19,0,2,0,0,5,1,0
97,97,0,0.0,0.0,4800.0,0.0,0,0,0,0,0,0,0,0
98,98,0,13440.0,0.0,9240.0,1727.04,41,2,0,0,26,1,1,1
99,99,0,16800.0,0.0,5925.0,805.8,19,0,1,0,3,1,10,1
100,100,0,6552.0,0.0,5040.0,306.432,18,0,0,0,0,0,0,0
101,101,0,16800.0,0.0,12096.0,1612.8,8,0,0,0,2,0,2,0
